city,rank,species,removed_count,pct_of_city_removed,city_removed_total,source
New York City,1,honeylocust,1,100.0,1,NYC Socrata status='Dead' OR 'Stump'
Seattle,1,English Midland Hawthorn,2452,5.18,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,2,Blireiana Purpleleaf Plum,2372,5.01,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,3,Kwanzan Flowering Cherry,1643,3.47,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,4,Sweetgum,1520,3.21,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,5,Purpleleaf Plum variety,1445,3.05,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,6,Thundercloud Purpleleaf Plum,1375,2.9,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,7,Apple/Crabapple,1368,2.89,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,8,Red Maple,1368,2.89,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,9,Norway Maple,1311,2.77,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,10,(European) White Birch,1266,2.67,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,11,Double Chinese Cherry,1063,2.25,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,12,Stump,916,1.93,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,13,Common (Euro) Mountain Ash,759,1.6,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,14,Unknown,697,1.47,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,15,Bigleaf Maple,614,1.3,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,16,(Smooth) Japanese Maple,585,1.24,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,17,Sycamore Maple,548,1.16,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,18,Red Oak,547,1.16,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,19,Japanese Snowbell Tree,546,1.15,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,20,Common Hawthorn,544,1.15,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,21,Callery Pear,525,1.11,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,22,Autumn Flowering Cherry,462,0.98,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,23,Horse Chestnut,460,0.97,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,24,Flame Narrowleaf Ash,428,0.9,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Seattle,25,Honey Locust,426,0.9,47341,Seattle SDOT CURRENT_STATUS='REMOVED'
Denver,1,"Elm, Siberian",780,13.96,5589,Denver Socrata condition='Dead'
